RtlAllocateHeap(0x1e255a80000L , 0x0 , 0xe8) = 0x1e255a96ba0L
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255a94d60L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255ac11b0L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aca990L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255a9c520L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255ac7e40L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255ac6710L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255ad0530L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255ad1840L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255acabf0L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x100000 , 0x1e255ac90c0L) = 0x1
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x20) = 0x1e259826360L
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e259826360L) = 0x1
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x38) = 0x1e255ae8730L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x28) = 0x1e255aed810L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x20) = 0x1e255aed840L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x28) = 0x1e255aed420L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x58) = 0x1e255aec6e0L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x58) = 0x1e255aec980L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x28) = 0x1e255aed300L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x28) = 0x1e255aed2d0L
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed810L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed420L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aec6e0L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255ae8730L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed300L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed840L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed2d0L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aec980L) = 0x1
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x20) = 0x1e259826480L
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e259826480L) = 0x1
RtlAllocateHeap(0x1e255a80000L , 0x140000 , 0x18) = 0x1e255ad3f40L
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x20) = 0x1e2598264e0L
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e2598264e0L) = 0x1
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x38) = 0x1e255ae7fb0L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x28) = 0x1e255aed1e0L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x20) = 0x1e255aed570L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x28) = 0x1e255aed6f0L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x58) = 0x1e255aecf20L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x58) = 0x1e255aecc80L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x28) = 0x1e255aed300L
